DATE,AAPL,NFLX,BA,T,MGM,AMZN,IBM,GOOG,SP500
24/05/2024,189.98,646.75,174.52,17.50,39.72,180.75,170.89,176.33,"5,304.72"
23/05/2024,186.88,635.67,172.21,17.47,38.93,181.05,170.67,175.06,"5,267.84"
22/05/2024,190.90,640.47,186.28,17.50,40.20,183.13,173.69,178.00,"5,307.01"
21/05/2024,192.35,650.61,184.78,17.27,40.81,183.15,173.47,179.54,"5,321.41"
20/05/2024,191.04,640.82,186.61,17.52,41.36,183.54,169.92,178.46,"5,308.13"
17/05/2024,189.87,621.10,184.95,17.40,41.03,184.70,169.03,177.29,"5,303.27"
16/05/2024,189.84,610.52,182.96,17.30,41.65,183.63,168.97,175.43,"5,297.10"
15/05/2024,189.72,613.52,176.99,17.33,41.55,185.99,168.26,173.88,"5,308.15"
14/05/2024,187.43,613.66,180.76,17.30,41.29,187.07,167.36,171.93,"5,246.68"
13/05/2024,186.28,616.59,178.44,17.26,40.93,186.57,167.56,170.90,"5,221.42"
10/05/2024,183.05,610.87,178.51,17.17,40.57,187.48,167.15,170.29,"5,222.68"
09/05/2024,184.57,612.09,181.25,17.18,40.85,189.50,166.27,171.58,"5,214.08"
08/05/2024,182.74,609.47,180.35,17.11,40.04,188.00,169.90,171.16,"5,187.67"
07/05/2024,182.40,606.00,176.71,17.08,40.64,188.76,168.38,172.98,"5,187.70"
06/05/2024,181.71,596.97,178.35,16.99,41.01,188.70,168.61,169.83,"5,180.74"
03/05/2024,183.38,579.34,179.79,16.85,41.04,186.21,165.71,168.99,"5,127.79"
02/05/2024,173.03,565.15,178.85,16.82,40.87,184.72,164.69,168.46,"5,064.20"
01/05/2024,169.30,551.71,171.46,16.92,39.75,179.00,164.43,165.57,"5,018.39"
30/04/2024,170.33,550.64,167.84,16.89,39.44,175.00,166.20,164.64,"5,035.69"
29/04/2024,173.50,559.49,173.49,17.02,41.61,180.96,167.43,167.90,"5,116.17"
26/04/2024,169.30,561.23,167.22,16.75,41.09,179.62,167.13,173.69,"5,099.96"
25/04/2024,169.89,564.80,166.81,16.58,42.18,173.67,168.91,157.95,"5,048.42"
24/04/2024,169.02,555.12,164.33,16.81,42.71,176.59,184.10,161.10,"5,071.63"
23/04/2024,166.90,577.75,169.18,16.50,42.85,179.54,182.19,159.92,"5,070.55"
22/04/2024,165.84,554.60,170.48,16.31,42.43,177.23,181.90,157.95,"5,010.60"
19/04/2024,165.00,555.04,169.82,16.51,42.42,174.63,181.58,155.72,"4,967.23"
18/04/2024,167.04,610.56,170.23,16.33,42.04,179.22,181.47,157.46,"5,011.12"
17/04/2024,168.00,613.69,170.21,16.12,42.03,181.28,183.10,156.88,"5,022.21"
16/04/2024,169.38,617.52,170.55,16.09,42.70,183.32,183.75,156.00,"5,051.41"
15/04/2024,172.69,607.15,167.82,16.24,42.85,183.62,181.25,156.33,"5,061.82"
12/04/2024,176.55,622.83,169.55,16.31,42.48,186.13,182.27,159.19,"5,123.41"
11/04/2024,175.04,628.78,173.36,16.42,44.72,189.05,185.90,160.79,"5,199.06"
10/04/2024,167.78,618.58,174.63,16.73,44.68,185.95,186.04,157.66,"5,160.64"
09/04/2024,169.67,618.20,178.12,16.90,46.41,185.67,189.31,158.14,"5,209.91"
08/04/2024,168.45,628.41,181.56,17.25,46.30,185.19,189.82,156.14,"5,202.39"
05/04/2024,169.58,636.18,183.14,17.42,46.53,185.07,189.14,153.94,"5,204.34"
04/04/2024,168.82,617.14,183.29,17.57,45.86,180.00,187.94,151.94,"5,147.21"
03/04/2024,169.65,630.08,184.92,17.61,46.75,182.41,190.90,156.37,"5,211.49"
02/04/2024,168.84,614.21,188.04,17.52,46.42,180.69,188.88,155.87,"5,205.81"
01/04/2024,170.03,614.31,189.50,17.50,47.78,180.97,189.83,156.50,"5,243.77"
28/03/2024,171.48,607.33,192.99,17.60,47.21,180.38,190.96,152.26,"5,254.35"
27/03/2024,173.31,613.53,191.95,17.55,46.60,179.83,190.80,151.94,"5,248.49"
26/03/2024,169.71,629.24,187.50,17.18,46.46,178.30,188.50,151.70,"5,203.58"
25/03/2024,170.85,627.46,191.41,17.12,44.55,179.71,188.79,151.15,"5,218.19"
22/03/2024,172.28,628.01,188.85,16.98,44.47,178.87,190.84,151.77,"5,234.18"
21/03/2024,171.37,622.71,187.70,17.16,44.75,178.15,191.90,148.74,"5,241.53"
20/03/2024,178.67,627.69,187.78,17.21,44.61,178.15,193.96,149.68,"5,224.62"
19/03/2024,176.08,620.74,181.14,17.17,44.47,175.90,193.34,147.92,"5,178.51"
18/03/2024,173.72,618.39,179.84,17.30,44.12,174.48,191.69,148.48,"5,149.42"
15/03/2024,172.62,605.88,182.53,17.05,42.88,174.42,191.07,142.17,"5,117.09"
14/03/2024,173.00,613.01,181.15,17.01,42.77,178.75,193.43,144.34,"5,150.48"
13/03/2024,171.13,609.45,182.35,17.19,42.86,176.56,196.70,140.77,"5,165.31"
12/03/2024,173.23,611.08,184.24,17.20,42.80,175.39,197.78,139.62,"5,175.27"
11/03/2024,172.75,600.93,192.49,17.33,42.64,171.96,191.73,138.94,"5,117.94"
08/03/2024,170.73,604.82,198.49,17.20,42.47,175.35,195.95,136.29,"5,123.69"
07/03/2024,169.00,608.51,203.03,17.05,42.91,176.82,196.54,135.24,"5,157.36"
06/03/2024,169.12,597.69,201.00,17.18,42.03,173.51,196.16,132.56,"5,104.76"
05/03/2024,170.12,598.50,201.14,17.17,41.99,174.12,191.95,133.78,"5,078.65"
04/03/2024,175.10,615.83,200.54,16.80,42.01,177.58,193.06,134.20,"5,130.95"
01/03/2024,179.66,619.34,200.00,16.98,42.96,178.22,188.20,138.08,"5,137.08"
29/02/2024,180.75,602.92,203.72,16.93,43.28,176.76,185.03,139.78,"5,096.27"
28/02/2024,181.42,596.48,207.00,16.96,42.19,173.16,185.30,137.43,"5,069.76"
27/02/2024,182.63,601.67,201.40,16.83,42.00,173.54,184.87,140.10,"5,078.18"
26/02/2024,181.16,587.65,200.54,16.60,41.75,174.73,184.13,138.75,"5,069.53"
23/02/2024,182.52,583.56,200.83,16.80,42.58,174.99,185.72,145.29,"5,088.80"
22/02/2024,184.37,588.47,201.50,16.59,42.43,174.58,184.21,145.32,"5,087.03"
21/02/2024,182.32,573.35,201.57,17.00,42.30,168.59,179.70,143.84,"4,981.80"
20/02/2024,181.56,575.13,203.37,16.91,42.36,167.08,183.44,142.20,"4,975.51"
16/02/2024,182.31,583.95,203.89,16.97,42.54,169.51,187.64,141.76,"5,005.57"
15/02/2024,183.86,593.46,205.33,17.09,43.10,169.80,186.87,143.94,"5,029.73"
14/02/2024,184.15,579.33,203.38,16.91,42.80,170.98,183.57,147.14,"5,000.62"
13/02/2024,185.04,554.52,204.46,16.90,45.66,168.64,183.70,146.37,"4,953.17"
12/02/2024,187.15,557.85,209.33,17.02,47.02,172.34,186.16,148.73,"5,021.84"
09/02/2024,188.85,561.32,209.20,16.84,46.74,174.45,186.34,150.22,"5,026.61"
08/02/2024,188.32,558.53,209.22,16.82,46.43,169.84,184.36,147.22,"4,997.91"
07/02/2024,189.41,559.30,211.92,17.33,44.72,170.53,183.74,146.68,"4,995.06"
06/02/2024,189.30,555.88,208.58,17.61,44.69,169.15,183.41,145.41,"4,954.23"
05/02/2024,187.68,562.06,206.63,17.73,44.51,170.31,183.42,144.93,"4,942.81"
02/02/2024,185.85,564.64,209.38,17.83,44.88,171.81,185.79,143.54,"4,958.61"
01/02/2024,186.86,567.51,209.81,18.04,44.71,159.28,186.90,142.71,"4,906.19"
31/01/2024,184.40,564.11,211.04,17.69,43.37,155.20,183.66,141.80,"4,845.65"
30/01/2024,188.04,562.85,200.44,17.53,43.66,159.00,187.87,153.05,"4,924.97"
29/01/2024,191.73,575.79,205.19,17.25,43.85,161.26,187.14,154.84,"4,927.93"
26/01/2024,192.42,570.42,205.47,17.29,43.65,159.12,187.42,153.79,"4,890.97"
25/01/2024,194.17,562.00,201.88,17.18,43.62,157.75,190.43,153.64,"4,894.16"
24/01/2024,194.50,544.87,214.13,16.68,42.86,156.87,173.93,150.35,"4,868.55"
23/01/2024,195.18,492.19,211.50,17.19,43.05,156.02,173.94,148.68,"4,864.60"
22/01/2024,193.89,485.71,214.93,16.80,42.56,154.78,172.83,147.71,"4,850.43"
19/01/2024,191.56,482.95,215.02,16.67,43.00,155.34,171.48,147.97,"4,839.81"
18/01/2024,188.63,485.31,211.61,16.40,42.86,153.50,166.84,144.99,"4,780.94"
17/01/2024,182.68,480.33,203.06,16.41,41.63,151.71,166.08,142.89,"4,739.21"
16/01/2024,183.63,481.24,200.52,16.44,42.27,153.16,166.96,144.08,"4,765.98"
12/01/2024,185.92,492.16,217.70,16.48,42.37,154.62,165.80,144.24,"4,783.83"
11/01/2024,185.59,492.23,222.66,16.23,43.41,155.18,162.16,143.67,"4,780.24"
10/01/2024,186.19,478.33,227.84,16.87,43.49,153.73,161.23,143.80,"4,783.45"
09/01/2024,185.14,482.09,225.76,16.95,44.61,151.37,160.08,142.56,"4,756.50"
08/01/2024,185.56,485.03,229.00,17.32,45.91,149.10,161.14,140.53,"4,763.54"
05/01/2024,181.18,474.06,249.00,17.47,44.83,145.24,159.16,137.39,"4,697.24"
04/01/2024,181.91,474.67,244.94,17.15,44.35,144.57,160.86,138.04,"4,688.68"
03/01/2024,184.25,470.26,243.91,17.23,44.25,148.47,160.10,140.36,"4,704.81"
02/01/2024,185.64,468.50,251.76,17.25,45.48,149.93,161.50,139.56,"4,742.83"
29/12/2023,192.53,486.88,260.66,16.78,44.68,151.94,163.55,140.93,"4,769.83"
28/12/2023,193.58,490.51,260.35,16.74,45.05,153.38,163.75,141.28,"4,783.35"
27/12/2023,193.15,491.79,262.10,16.58,44.79,153.34,163.46,141.44,"4,781.58"
26/12/2023,193.05,491.19,262.79,16.57,44.66,153.41,163.21,142.82,"4,774.75"
22/12/2023,193.60,486.76,260.44,16.55,44.38,153.42,162.14,142.72,"4,754.63"
21/12/2023,194.68,491.61,262.02,16.49,44.49,153.84,160.78,141.80,"4,746.75"
20/12/2023,194.83,489.27,260.25,16.40,43.49,152.12,160.05,139.66,"4,698.35"
19/12/2023,196.94,495.02,263.51,16.61,45.02,153.79,161.56,138.10,"4,768.37"
18/12/2023,195.89,486.12,260.41,16.46,43.54,154.07,162.74,137.19,"4,740.56"
15/12/2023,197.57,472.06,264.27,16.52,43.10,149.97,162.23,133.84,"4,719.19"
14/12/2023,198.11,469.83,256.24,16.65,44.66,147.42,162.91,133.20,"4,719.55"
13/12/2023,197.96,479.98,250.91,16.45,43.75,148.84,163.62,133.97,"4,707.09"
12/12/2023,194.71,463.00,248.63,16.41,43.37,147.48,164.71,133.64,"4,643.70"
11/12/2023,193.18,459.89,248.08,16.62,43.54,145.89,163.51,134.70,"4,622.44"
08/12/2023,195.71,453.76,244.70,16.92,41.42,147.42,161.96,136.64,"4,604.37"
07/12/2023,194.27,452.00,237.33,17.09,39.81,146.88,160.22,138.45,"4,585.59"
06/12/2023,192.32,446.73,236.89,16.94,39.37,144.52,160.28,131.43,"4,549.34"
05/12/2023,193.42,455.15,234.16,17.22,39.13,146.88,161.39,132.39,"4,567.18"
04/12/2023,189.43,453.90,234.87,16.66,40.35,144.84,161.10,130.63,"4,569.78"
01/12/2023,191.24,465.74,233.87,16.76,40.84,147.03,160.55,133.32,"4,594.63"
30/11/2023,189.95,473.97,231.63,16.57,39.44,146.09,158.56,133.92,"4,567.80"
29/11/2023,189.37,477.19,224.43,16.30,39.43,146.32,156.41,136.40,"4,550.58"
28/11/2023,190.40,479.00,222.37,16.18,39.73,147.03,155.65,138.62,"4,554.89"
27/11/2023,189.79,479.17,219.30,16.21,40.05,147.73,155.57,138.05,"4,550.43"
24/11/2023,189.97,479.56,220.00,16.21,40.22,146.74,155.18,138.22,"4,559.34"
22/11/2023,191.31,478.00,219.91,16.17,40.35,146.71,155.13,140.02,"4,556.62"
21/11/2023,190.64,474.95,218.27,16.19,39.86,143.90,153.91,138.62,"4,538.19"
20/11/2023,191.45,474.47,217.71,16.10,40.31,146.13,154.35,137.92,"4,547.38"
17/11/2023,189.69,465.91,208.04,15.90,39.80,145.18,152.89,136.94,"4,514.02"
16/11/2023,189.71,466.95,206.60,15.88,40.21,142.83,153.06,138.70,"4,508.24"
15/11/2023,188.01,461.94,208.71,15.76,40.63,143.20,152.58,136.38,"4,502.88"
14/11/2023,187.44,448.65,207.47,15.63,40.26,145.80,150.41,135.43,"4,495.70"
13/11/2023,184.80,444.62,204.54,15.58,37.94,142.59,148.10,133.64,"4,411.55"
10/11/2023,186.40,447.24,196.65,15.64,38.74,143.56,149.02,134.06,"4,415.24"
09/11/2023,182.41,435.15,193.33,15.63,38.21,140.60,146.62,131.69,"4,347.35"
08/11/2023,182.89,436.65,191.83,15.65,38.65,142.08,148.03,133.26,"4,382.78"
07/11/2023,181.82,434.61,191.41,15.84,38.27,142.71,148.83,132.40,"4,378.38"
06/11/2023,179.23,434.74,192.95,15.75,38.28,139.74,148.97,131.45,"4,365.98"
03/11/2023,176.65,432.36,195.05,15.88,38.16,138.60,147.90,130.37,"4,358.34"
02/11/2023,177.57,424.71,192.01,15.73,36.25,138.07,147.01,128.58,"4,317.78"
01/11/2023,173.97,420.19,189.38,15.58,34.97,137.00,145.40,127.57,"4,237.86"
31/10/2023,170.77,411.69,186.82,15.40,34.92,133.09,144.64,125.30,"4,193.80"
30/10/2023,170.29,410.08,182.35,15.26,34.83,132.71,142.63,125.75,"4,166.82"
27/10/2023,168.22,397.87,179.69,14.82,34.23,127.74,142.52,123.40,"4,117.37"
26/10/2023,166.89,403.54,179.09,15.12,34.84,119.57,143.76,123.44,"4,137.23"
25/10/2023,171.10,411.25,177.73,15.19,34.63,121.39,137.08,126.67,"4,186.77"
24/10/2023,173.44,413.73,182.36,15.53,36.66,128.56,137.79,140.12,"4,247.68"
23/10/2023,173.00,406.84,181.03,14.95,36.64,126.56,136.38,137.90,"4,217.04"
20/10/2023,172.88,400.96,180.04,15.38,35.25,125.17,137.16,136.74,"4,224.16"
19/10/2023,175.46,401.77,182.79,15.26,35.99,128.40,138.01,138.98,"4,278.00"
18/10/2023,175.84,346.19,185.69,14.32,35.63,128.13,139.97,139.28,"4,314.60"
17/10/2023,177.15,355.72,185.60,14.58,36.84,131.47,140.32,140.99,"4,373.20"
16/10/2023,178.72,360.82,184.93,14.41,36.95,132.55,139.21,140.49,"4,373.63"
13/10/2023,178.85,355.68,184.91,14.36,36.44,129.79,138.46,138.58,"4,327.78"
12/10/2023,180.71,361.20,191.30,14.45,37.16,132.33,141.24,140.29,"4,349.61"
11/10/2023,179.80,365.93,196.07,14.77,38.01,131.83,143.23,141.70,"4,376.95"
10/10/2023,178.39,373.32,193.53,14.96,37.39,129.48,142.11,139.20,"4,358.24"
09/10/2023,178.99,385.95,188.49,14.73,37.18,128.26,142.20,139.50,"4,335.66"
06/10/2023,177.49,381.51,187.38,14.45,36.48,127.96,142.03,138.73,"4,308.50"
05/10/2023,174.91,372.59,186.29,14.83,34.79,125.96,141.52,135.99,"4,258.19"
04/10/2023,173.66,376.90,186.73,14.65,35.16,127.00,141.07,136.27,"4,263.75"
03/10/2023,172.40,376.75,188.92,14.78,35.72,124.72,140.39,133.30,"4,229.45"
02/10/2023,173.75,380.33,187.83,14.67,36.79,129.46,140.80,135.17,"4,288.39"
29/09/2023,171.21,377.60,191.68,15.02,36.76,127.12,140.30,131.85,"4,288.05"
28/09/2023,170.69,376.36,190.43,15.01,36.64,125.98,141.58,133.13,"4,299.70"
27/09/2023,170.43,377.59,195.46,14.87,36.49,125.98,143.17,131.46,"4,274.51"
26/09/2023,171.96,379.25,195.64,15.02,36.85,125.98,143.24,129.45,"4,273.53"
25/09/2023,176.08,384.80,198.78,15.06,36.86,131.27,146.48,132.17,"4,337.44"
22/09/2023,174.79,379.81,197.71,15.12,36.54,129.12,146.91,131.25,"4,320.06"
21/09/2023,173.93,384.15,199.95,15.31,37.03,129.33,147.38,131.36,"4,330.00"
20/09/2023,175.49,386.30,202.37,15.55,38.77,135.29,149.83,134.59,"4,402.20"
19/09/2023,179.07,396.20,204.48,15.21,39.20,137.63,146.52,138.83,"4,443.95"
18/09/2023,177.97,394.40,205.12,15.09,40.29,139.98,145.09,138.96,"4,453.53"
15/09/2023,175.01,396.94,208.11,15.23,41.08,140.39,145.99,138.30,"4,450.32"
14/09/2023,175.74,400.49,209.05,15.06,41.58,144.72,147.35,138.99,"4,505.10"
13/09/2023,174.21,412.24,208.40,14.62,41.47,144.85,146.55,137.50,"4,467.44"
12/09/2023,176.30,434.69,210.65,14.46,41.99,141.23,146.30,136.07,"4,461.90"
11/09/2023,179.36,445.36,211.01,14.52,42.70,143.10,148.38,137.74,"4,487.46"
08/09/2023,178.18,442.80,211.27,14.40,43.74,138.23,147.68,137.20,"4,457.49"
07/09/2023,177.56,443.14,216.05,14.61,43.40,137.85,147.52,136.20,"4,451.14"
06/09/2023,182.91,445.76,217.95,14.61,43.47,135.36,148.06,135.37,"4,465.48"
05/09/2023,189.70,448.68,222.57,14.48,43.22,137.27,148.13,136.71,"4,496.83"
01/09/2023,189.46,439.88,223.40,14.65,44.35,138.12,147.94,136.80,"4,515.77"
31/08/2023,187.87,433.68,224.03,14.79,43.98,138.01,146.83,137.35,"4,507.66"
30/08/2023,187.65,434.67,228.85,14.73,44.03,135.07,146.86,136.93,"4,514.87"
29/08/2023,184.12,429.99,227.25,14.77,43.58,134.91,146.45,135.49,"4,497.63"
28/08/2023,180.19,418.06,227.06,14.21,43.13,133.14,146.02,131.79,"4,433.31"
25/08/2023,178.61,416.03,223.41,14.11,42.17,133.26,145.35,130.69,"4,405.71"
24/08/2023,176.38,406.93,217.31,14.15,42.40,131.84,143.55,130.42,"4,376.31"
23/08/2023,181.12,427.55,228.58,14.16,43.09,135.52,143.41,133.21,"4,436.01"
22/08/2023,177.23,413.17,230.07,14.26,42.64,134.25,141.49,129.69,"4,387.55"
21/08/2023,175.84,408.29,227.22,14.10,42.29,134.68,142.28,128.93,"4,399.77"
18/08/2023,174.49,404.53,226.65,14.05,42.54,133.22,141.41,128.11,"4,369.71"
17/08/2023,174.00,403.00,224.54,14.01,42.55,133.98,140.66,130.46,"4,370.36"
16/08/2023,176.57,415.45,229.95,14.10,43.73,135.07,140.64,129.11,"4,404.33"
15/08/2023,177.45,423.70,232.26,14.14,44.18,137.67,141.87,130.27,"4,437.86"
14/08/2023,179.46,427.78,236.71,14.26,45.66,140.57,141.91,131.83,"4,489.72"
11/08/2023,177.79,421.66,235.72,14.37,45.83,138.41,143.12,130.17,"4,464.05"
10/08/2023,177.97,429.98,238.26,14.17,46.48,138.56,143.25,130.21,"4,468.83"
09/08/2023,178.19,428.90,237.86,14.27,45.75,137.85,142.49,130.15,"4,467.71"
08/08/2023,179.80,438.30,238.04,14.18,45.99,139.94,145.91,131.84,"4,499.38"
07/08/2023,178.85,440.76,238.25,14.01,45.70,142.22,146.18,131.94,"4,518.44"
